ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
3642,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-25 16:45:01,2023-08-25 16:45:39,00:00:38,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-25 16:45:01
3643,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-25 16:58:11,2023-08-25 16:58:30,00:00:19,fly,Insecta,Diptera,Brachycera,Oestroidea,#N/C,#N/C,#N/C,#N/C,2023-08-25 16:58:11
3644,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-25 17:06:38,2023-08-25 17:09:06,00:02:28,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-25 17:06:38
3645,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-25 17:44:12,2023-08-25 17:44:37,00:00:25,fly,Insecta,Diptera,Brachycera,Oestroidea,#N/C,#N/C,#N/C,#N/C,2023-08-25 17:44:12
3646,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-25 17:54:23,2023-08-25 17:54:31,00:00:08,wasp,Insecta,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,#N/C,#N/C,2023-08-25 17:54:23
3647,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-25 18:10:23,2023-08-25 18:10:54,00:00:31,wasp,Insecta,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,Vespula,#N/C,2023-08-25 18:10:23
3648,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-25 18:24:50,2023-08-25 18:24:55,00:00:05,wasp,Insecta,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,Vespula,#N/C,2023-08-25 18:24:50
3649,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 07:01:27,2023-08-26 07:46:51,00:45:24,fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,Sarcophaginae,#N/C,#N/C,2023-08-26 07:01:27
3650,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 07:01:27,2023-08-26 07:17:44,00:16:17,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-26 07:01:27
3651,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 07:16:38,2023-08-26 07:47:51,00:31:13,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-26 07:16:38
3652,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 08:44:31,2023-08-26 08:48:18,00:03:47,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-26 08:44:31
3653,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 08:50:10,2023-08-26 08:50:54,00:00:44,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-26 08:50:10
3654,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 09:27:36,2023-08-26 09:30:49,00:03:13,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-26 09:27:36
3655,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 09:28:07,2023-08-26 09:29:09,00:01:02,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-26 09:28:07
3656,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 09:28:20,2023-08-26 09:28:39,00:00:19,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-26 09:28:20
3657,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 09:36:17,2023-08-26 09:36:21,00:00:04,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-26 09:36:17
3658,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 09:46:01,2023-08-26 09:46:18,00:00:17,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-26 09:46:01
3659,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 10:00:29,2023-08-26 10:00:53,00:00:24,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-26 10:00:29
3660,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 10:05:22,2023-08-26 10:05:25,00:00:03,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-26 10:05:22
3661,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 10:05:22,2023-08-26 10:05:58,00:00:36,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-26 10:05:22
3662,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 10:06:24,2023-08-26 10:07:07,00:00:43,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-26 10:06:24
3663,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 10:14:20,2023-08-26 10:21:51,00:07:31,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-26 10:14:20
3664,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 10:15:31,2023-08-26 10:16:43,00:01:12,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-26 10:15:31
3665,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 10:17:40,2023-08-26 10:17:53,00:00:13,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-26 10:17:40
3666,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 10:49:11,2023-08-26 10:49:17,00:00:06,wasp,Insecta,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,Vespula,#N/C,2023-08-26 10:49:11
3667,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 11:13:49,2023-08-26 11:14:11,00:00:22,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-26 11:13:49
3668,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 11:17:12,2023-08-26 11:17:24,00:00:12,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-26 11:17:12
3669,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 11:22:48,2023-08-26 11:23:08,00:00:20,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-26 11:22:48
3670,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-26 11:33:01,2023-08-26 11:36:41,00:03:40,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-26 11:33:01
