Tag,Stunde,Time,RH,AIRTEMP20,AIRTEMP,GROUNDTEMP05,GROUNDTEMP,WINDSPEED,RAD,PRECIPITATION
1.6926624e+18,0.0,1.6927083e+18,51.3,30.4,30.1,30.0,21.625,2.925,659.9,0.0
1.6926624e+18,0.0,1.6927092e+18,50.8,30.5,30.2,30.2,21.7,3.1,661.1,0.0
1.6926624e+18,0.0,1.6927101e+18,50.25,30.5,30.3,30.35,21.775,3.15,654.7,0.0
1.6926624e+18,0.0,1.692711e+18,49.7,30.5,30.4,30.5,21.85,3.2,648.3,0.0
1.6926624e+18,0.0,1.6927119e+18,49.15,30.5,30.5,30.65,21.925,3.25,641.9,0.0
1.6926624e+18,0.0,1.6927128e+18,48.6,30.5,30.6,30.8,22.0,3.3,635.5,0.0
1.6926624e+18,0.0,1.6927137e+18,48.425,30.575,30.650000000000002,30.825,22.075,3.3249999999999997,628.925,0.0
1.6926624e+18,0.0,1.6927146e+18,48.25,30.65,30.700000000000003,30.85,22.15,3.3499999999999996,622.35,0.0
1.6926624e+18,0.0,1.6927155e+18,48.075,30.725,30.75,30.875,22.225,3.375,615.7750000000001,0.0
1.6926624e+18,0.0,1.6927164e+18,47.9,30.8,30.8,30.9,22.3,3.4,609.2,0.0
1.6926624e+18,0.0,1.6927173e+18,47.875,30.675,30.775,30.799999999999997,22.35,3.35,585.1750000000001,0.0
1.6926624e+18,0.0,1.6927182e+18,47.849999999999994,30.55,30.75,30.7,22.4,3.3,561.1500000000001,0.0
1.6926624e+18,0.0,1.6927191e+18,47.824999999999996,30.425,30.725,30.6,22.45,3.25,537.125,0.0
1.6926624e+18,0.0,1.69272e+18,47.8,30.3,30.7,30.5,22.5,3.2,513.1,0.0
1.6926624e+18,0.0,1.6927209e+18,48.324999999999996,29.925,30.475,30.175,22.55,3.1,458.15000000000003,0.0
1.6926624e+18,0.0,1.6927218e+18,48.849999999999994,29.55,30.25,29.85,22.6,3.0,403.20000000000005,0.0
1.6926624e+18,0.0,1.6927227e+18,49.375,29.175,30.025,29.525,22.65,2.9,348.25,0.0
1.6926624e+18,0.0,1.6927236e+18,49.9,28.8,29.8,29.2,22.7,2.8,293.3,0.0
1.6926624e+18,0.0,1.6927245e+18,50.2,28.525,29.625,28.925,22.725,2.6999999999999997,265.45,0.0
1.6926624e+18,0.0,1.6927254e+18,50.5,28.25,29.450000000000003,28.65,22.75,2.5999999999999996,237.60000000000002,0.0
1.6926624e+18,0.0,1.6927263e+18,50.8,27.975,29.275000000000002,28.375,22.775,2.5,209.75,0.0
1.6926624e+18,0.0,1.6927272e+18,51.1,27.7,29.1,28.1,22.8,2.4,181.9,0.0
1.6926624e+18,0.0,1.6927281e+18,52.6,27.125,28.675,27.875,22.775,2.225,150.4,0.0
1.6926624e+18,0.0,1.692729e+18,54.1,26.549999999999997,28.25,27.65,22.75,2.05,118.9,0.0
1.6926624e+18,0.0,1.6927299e+18,55.6,25.974999999999998,27.825,27.425,22.725,1.875,87.4,0.0
1.6926624e+18,0.0,1.6927308e+18,57.1,25.4,27.4,27.2,22.7,1.7,55.9,0.0
1.6926624e+18,0.0,1.6927317e+18,60.45,24.5,26.724999999999998,26.975,22.7,1.525,41.925,0.0
1.6926624e+18,0.0,1.6927326e+18,63.8,23.6,26.049999999999997,26.75,22.7,1.35,27.95,0.0
1.6926624e+18,0.0,1.6927335e+18,67.15,22.7,25.375,26.525,22.7,1.175,13.975000000000001,0.0
1.6926624e+18,0.0,1.6927344e+18,70.5,21.8,24.7,26.3,22.7,1.0,0.0,0.0
1.6926624e+18,0.0,1.6927353e+18,72.375,21.275,24.225,26.125,22.675,0.975,0.0,0.0
1.6926624e+18,0.0,1.6927362e+18,74.25,20.75,23.75,25.950000000000003,22.65,0.95,0.0,0.0
1.6926624e+18,0.0,1.6927371e+18,76.125,20.225,23.275,25.775000000000002,22.625,0.925,0.0,0.0
1.6926624e+18,0.0,1.692738e+18,78.0,19.7,22.8,25.6,22.6,0.9,0.0,0.0
1.6926624e+18,0.0,1.6927389e+18,79.225,19.35,22.475,25.425,22.55,0.875,0.0,0.0
1.6926624e+18,0.0,1.6927398e+18,80.45,19.0,22.15,25.25,22.5,0.8500000000000001,0.0,0.0
1.6926624e+18,0.0,1.6927407e+18,81.67500000000001,18.65,21.825,25.075,22.45,0.8250000000000001,0.0,0.0
1.6926624e+18,0.0,1.6927416e+18,82.9,18.3,21.5,24.9,22.4,0.8,0.0,0.0
1.6926624e+18,0.0,1.6927425e+18,83.9,18.175,21.2,24.775,22.375,0.8,0.0,0.0
1.6926624e+18,0.0,1.6927434e+18,84.9,18.05,20.9,24.65,22.35,0.8,0.0,0.0
1.6926624e+18,0.0,1.6927443e+18,85.9,17.925,20.6,24.525,22.325,0.8,0.0,0.0
1.6926624e+18,0.0,1.6927452e+18,86.9,17.8,20.3,24.4,22.3,0.8,0.0,0.0
1.692684e+18,0.0,1.6927461e+18,87.625,17.675,20.075,24.275,22.25,0.8,0.0,0.0
1.6927056e+18,0.0,1.692747e+18,88.35,17.55,19.85,24.15,22.200000000000003,0.8,0.0,0.0
