Time,AIRTEMP,GROUNDTEMP,AIRP,PRECIPITATION,RH,RH_GROUND,WINDSPEED,WINDSPEED_MIN,WINDSPEED_MAX,RAD,DateTime
1692810900000000000,31.4,0.0,978.72,0.0,74.0,0.0,4.24,0.08,8.57,0.0,2023-08-23 17:15:00
1692811800000000000,30.3,0.0,978.77,0.0,72.1,0.0,4.24,1.32,6.25,0.0,2023-08-23 17:30:00
1692812700000000000,30.3,0.0,978.77,0.0,72.1,0.0,4.24,1.32,6.25,0.0,2023-08-23 17:45:00
1692813600000000000,29.4,0.0,978.66,0.0,72.5,0.0,3.74,0.84,6.21,0.0,2023-08-23 18:00:00
1692814500000000000,29.4,0.0,978.66,0.0,72.5,0.0,3.74,0.84,6.21,0.0,2023-08-23 18:15:00
1692815400000000000,29.4,0.0,978.66,0.0,72.5,0.0,3.74,0.84,6.21,0.0,2023-08-23 18:30:00
1692816300000000000,29.0,0.0,978.2,0.0,66.0,0.0,3.42,1.84,5.2,0.0,2023-08-23 18:45:00
1692817200000000000,29.0,0.0,978.2,0.0,66.0,0.0,3.42,1.84,5.2,0.0,2023-08-23 19:00:00
1692818100000000000,28.1,0.0,978.94,0.0,73.7,0.0,2.91,1.72,4.28,0.0,2023-08-23 19:15:00
1692819000000000000,28.1,0.0,978.94,0.0,73.7,0.0,2.91,1.72,4.28,0.0,2023-08-23 19:30:00
1692819900000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 19:45:00
1692820800000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 20:00:00
1692821700000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 20:15:00
1692822600000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 20:30:00
1692823500000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 20:45:00
1692824400000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 21:00:00
1692825300000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 21:15:00
1692826200000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 21:30:00
1692827100000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 21:45:00
1692828000000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 22:00:00
1692828900000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 22:15:00
1692829800000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 22:30:00
