ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
345,ID,ID-3,Site 3,Meadow,2023-09-02 17:07:51.159,2023-09-02 17:14:40.537,00:06:49.378000,beetle,Insecta,Coleoptera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:07:51.159
2715,ID,ID-4,Site 4,Meadow,2023-09-02 17:07:51.159,2023-09-02 17:14:40.537,00:06:49.378000,beetle,Insecta,Coleoptera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:07:51.159
346,ID,ID-3,Site 3,Meadow,2023-09-02 17:12:15.725,2023-09-02 17:14:01.999,00:01:46.274000,bee,Insecta,Hymenoptera,Apocrita,Apoidea,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:12:15.725
2716,ID,ID-4,Site 4,Meadow,2023-09-02 17:12:15.725,2023-09-02 17:14:01.999,00:01:46.274000,bee,Insecta,Hymenoptera,Apocrita,Apoidea,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:12:15.725
2717,ID,ID-4,Site 4,Meadow,2023-09-02 17:14:46.272,2023-09-02 17:15:12.066,00:00:25.794000,bee,Insecta,Hymenoptera,Apocrita,Apoidea,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:14:46.272
347,ID,ID-3,Site 3,Meadow,2023-09-02 17:14:46.272,2023-09-02 17:15:12.066,00:00:25.794000,bee,Insecta,Hymenoptera,Apocrita,Apoidea,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:14:46.272
348,ID,ID-3,Site 3,Meadow,2023-09-02 17:15:33.454,2023-09-02 17:16:26.535,00:00:53.081000,bee,Insecta,Hymenoptera,Apocrita,Apoidea,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:15:33.454
2718,ID,ID-4,Site 4,Meadow,2023-09-02 17:15:33.454,2023-09-02 17:16:26.535,00:00:53.081000,bee,Insecta,Hymenoptera,Apocrita,Apoidea,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:15:33.454
349,ID,ID-3,Site 3,Meadow,2023-09-02 17:17:41.225,2023-09-02 17:19:45.364,00:02:04.139000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:17:41.225
2719,ID,ID-4,Site 4,Meadow,2023-09-02 17:17:41.225,2023-09-02 17:19:45.364,00:02:04.139000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:17:41.225
350,ID,ID-3,Site 3,Meadow,2023-09-02 17:19:46.772,2023-09-02 17:19:51.076,00:00:04.304000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:19:46.772
2720,ID,ID-4,Site 4,Meadow,2023-09-02 17:19:46.772,2023-09-02 17:19:51.076,00:00:04.304000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:19:46.772
2721,ID,ID-4,Site 4,Meadow,2023-09-02 17:33:04.544,2023-09-02 17:33:10.209,00:00:05.665000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:33:04.544
351,ID,ID-3,Site 3,Meadow,2023-09-02 17:33:04.544,2023-09-02 17:33:10.209,00:00:05.665000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:33:04.544
2722,ID,ID-4,Site 4,Meadow,2023-09-02 17:34:12.004,2023-09-02 17:35:34.807,00:01:22.803000,bug,Insecta,Hemiptera,Heteroptera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:34:12.004
352,ID,ID-3,Site 3,Meadow,2023-09-02 17:34:12.004,2023-09-02 17:35:34.807,00:01:22.803000,bug,Insecta,Hemiptera,Heteroptera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:34:12.004
353,ID,ID-3,Site 3,Meadow,2023-09-02 17:35:47.527,2023-09-02 17:36:32.098,00:00:44.571000,bug,Insecta,Hemiptera,Heteroptera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:35:47.527
2723,ID,ID-4,Site 4,Meadow,2023-09-02 17:35:47.527,2023-09-02 17:36:32.098,00:00:44.571000,bug,Insecta,Hemiptera,Heteroptera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:35:47.527
354,ID,ID-3,Site 3,Meadow,2023-09-02 17:36:24.937,2023-09-02 17:36:36.458,00:00:11.521000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:36:24.937
2724,ID,ID-4,Site 4,Meadow,2023-09-02 17:36:24.937,2023-09-02 17:36:36.458,00:00:11.521000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 17:36:24.937
4200,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 17:56:09.000,2023-09-02 17:56:17.000,00:00:08,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-09-02 17:56:09.000
2725,ID,ID-4,Site 4,Meadow,2023-09-02 18:03:32.526,2023-09-02 18:04:11.065,00:00:38.539000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:03:32.526
355,ID,ID-3,Site 3,Meadow,2023-09-02 18:03:32.526,2023-09-02 18:04:11.065,00:00:38.539000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:03:32.526
356,ID,ID-3,Site 3,Meadow,2023-09-02 18:06:20.707,2023-09-02 18:06:39.114,00:00:18.407000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:06:20.707
2726,ID,ID-4,Site 4,Meadow,2023-09-02 18:06:20.707,2023-09-02 18:06:39.114,00:00:18.407000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:06:20.707
2727,ID,ID-4,Site 4,Meadow,2023-09-02 18:06:43.408,2023-09-02 18:06:54.788,00:00:11.380000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:06:43.408
357,ID,ID-3,Site 3,Meadow,2023-09-02 18:06:43.408,2023-09-02 18:06:54.788,00:00:11.380000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:06:43.408
2728,ID,ID-4,Site 4,Meadow,2023-09-02 18:26:01.617,2023-09-02 18:26:05.955,00:00:04.338000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:26:01.617
358,ID,ID-3,Site 3,Meadow,2023-09-02 18:26:01.617,2023-09-02 18:26:05.955,00:00:04.338000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:26:01.617
