ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
1263,ID,ID-2,Site 2,Maize Field,2023-08-24 08:10:41.063,2023-08-24 08:10:56.735,00:00:15.672000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 08:10:41.063
1264,ID,ID-2,Site 2,Maize Field,2023-08-24 08:10:58.146,2023-08-24 08:11:13.895,00:00:15.749000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 08:10:58.146
1265,ID,ID-2,Site 2,Maize Field,2023-08-24 08:34:16.115,2023-08-24 08:34:31.814,00:00:15.699000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 08:34:16.115
1266,ID,ID-2,Site 2,Maize Field,2023-08-24 09:06:18.023,2023-08-24 09:06:28.046,00:00:10.023000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-24 09:06:18.023
786,ID,ID-1,Site 1,Maize Field,2023-08-24 09:07:41.470,2023-08-24 09:07:44.325,00:00:02.855000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 09:07:41.470
1267,ID,ID-2,Site 2,Maize Field,2023-08-24 09:13:03.086,2023-08-24 09:13:44.464,00:00:41.378000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 09:13:03.086
787,ID,ID-1,Site 1,Maize Field,2023-08-24 09:22:37.533,2023-08-24 09:23:04.630,00:00:27.097000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 09:22:37.533
788,ID,ID-1,Site 1,Maize Field,2023-08-24 09:26:25.741,2023-08-24 09:26:28.553,00:00:02.812000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-08-24 09:26:25.741
1268,ID,ID-2,Site 2,Maize Field,2023-08-24 09:30:34.491,2023-08-24 09:30:41.663,00:00:07.172000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-24 09:30:34.491
3152,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-24 10:00:38.000,2023-08-24 10:01:15.000,00:00:37,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-24 10:00:38.000
3153,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-24 10:34:11.000,2023-08-24 10:34:18.000,00:00:07,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-24 10:34:11.000
3154,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-24 11:17:40.000,2023-08-24 11:17:45.000,00:00:05,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Syrphini,#N/C,2023-08-24 11:17:40.000
3417,FAIR-D,FAIR-D2,Site 2,Maize Field,2023-08-24 11:59:08.000,,00:00:19,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 11:59:08.000
3155,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-24 12:14:23.000,2023-08-24 12:16:14.000,00:01:51,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-24 12:14:23.000
3418,FAIR-D,FAIR-D2,Site 2,Maize Field,2023-08-24 12:48:04.000,2023-08-24 12:48:18.000,00:00:14,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-24 12:48:04.000
3156,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-24 12:55:06.000,2023-08-24 12:55:11.000,00:00:05,wasp,Insecta,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,Vespula,#N/C,2023-08-24 12:55:06.000
3157,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-24 13:33:18.000,2023-08-24 13:33:23.000,00:00:05,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-24 13:33:18.000
